Product Title,Old Price,New Price,Total Offers
"Acer Predator Helios 300 PH315-54-74FG 15.6"" 144 Hz IPS Intel Core i7 12th Gen 11800H (2.30GHz) NVIDIA GeForce RTX 3070 Laptop GPU 16GB Memory 512 GB PCIe SSD 1TB HDD Windows 11 Home 64-bit Gaming Lap","$ $1,299.99","$ 1,269.99",2 Offers
"MSI Katana 15 B12VGK-082US 15.6"" 144 Hz IPS Intel Core i7 12th Gen 12650H (2.30GHz) NVIDIA GeForce RTX 4070 Laptop GPU 16GB Memory 1 TB NVMe SSD Windows 11 Home 64-bit Gaming Laptop",N/A,"$ 1,499.00",62 Offers
"MSI GE Series Raider GE66 12UGS-238 15.6"" 240 Hz Intel Core i7 12th Gen 12700H (2.30GHz) NVIDIA GeForce RTX 3070 Ti Laptop GPU 32GB Memory 1TB NVMe SSD Windows 11 Home 64-bit Gaming Laptop",N/A,"$ 1,899.00",76 Offers
"MSI Vector GP66 12UHSO-673 15.6"" 165 Hz Intel Core i9 12th Gen 12900H (2.50GHz) NVIDIA GeForce RTX 3080 Ti Laptop GPU 32 GB DDR5 Memory 1 TB NVMe SSD SSD Windows 11 Home Gaming Laptop",N/A,"$ 2,599.00",8 Offers
"Acer Predator Triton 300 SE PT316-51s-7397 16.0"" 240 Hz IPS Intel Core i7 12th Gen 12700H (2.30GHz) NVIDIA GeForce RTX 3060 Laptop GPU 16GB Memory 512 GB NVMe SSD Windows 11 Home Gaming Laptop","$ $1,749.99","$ 1,615.99",
"GIGABYTE AORUS 15 XE5 - 15.6"" 165 Hz QHD 2560x1440 IPS-level Display - Intel Core i7-12700H - NVIDIA GeForce RTX 3070 Ti - 16GB DDR5 - 1TB SSD - Win11 Home - Gaming Laptop (AORUS 15 XE5-73USB34SH)","$ $2,299.00","$ 1,577.99",3 Offers
"GIGABYTE AORUS 15 XE4 - 15.6"" 165Hz QHD 2560x1440 IPS Display - Intel Core i7-12700H - GeForce RTX 3070 Ti Laptop GPU - 16GB DDR4 RAM - 1TB SSD - Win11 Home - Gaming Laptop (AORUS 15 XE4-73USB14SH)","$ $2,349.99","$ 1,520.99",96 Offers
"MSI GP Series Vector GP76 12UE-270 17.3"" 360 Hz IPS Intel Core i7 12th Gen 12700H (2.30GHz) NVIDIA GeForce RTX 3060 Laptop GPU 16GB Memory 1TB NVMe SSD Windows 11 Home 64-bit Gaming Laptop","$ $1,799.00","$ 1,499.99",204 Offers
"GIGABYTE AERO 16 XE5 - 16"" 4K/UHD+ AMOLED - Intel Core i7-12700H - NVIDIA GeForce RTX 3070 Ti Laptop GPU 8GB - 16GB DDR5 RAM - 1TB SSD - Win11 Home - Creator & Gaming Laptop (AERO 16 XE5-73US934HH)","$ $2,449.00","$ 2,391.99",7 Offers
"MSI Vector GP76 12UHSO-893 17.3"" 240 Hz Intel Core i9 12th Gen 12900H (2.50GHz) NVIDIA GeForce RTX 3080 Ti Laptop GPU 64GB Memory 2 TB NVMe SSD SSD Windows 11 Home Gaming Laptop",N/A,"$ 2,827.33",8 Offers
"Aorus AORUS 17 YE5-74US544SH 17.3"" 360 Hz IPS Intel Core i7 12th Gen 12700H (2.30GHz) NVIDIA GeForce RTX 3080 Ti Laptop GPU 32GB Memory 1 TB Gen4 SSD Windows 11 Home Gaming Laptop",N/A,"$ 2,499.00",3 Offers
"MSI GE Series Raider GE77HX 12UHS-074 17.3"" 360 Hz IPS Intel Core i7 12th Gen 12800HX (2.00GHz) NVIDIA GeForce RTX 3080 Ti Laptop GPU 16GB Memory 1 TB PCIe SSD Windows 11 Home 64-bit Gaming Laptop"," $2,999.00",N/A,8 Offers
"ASUS ROG Flow Z13 (2022) Gaming Laptop Tablet, 13.4"" 120Hz FHD+ Display, NVIDIA GeForce RTX 3050, Intel Core i7-12700H, 16GB LPDDR5, 512GB PCIe SSD, Detachable RGB Keyboard, Windows 11, GZ301ZC-PS73",N/A,"$ 1,799.99",15 Offers
"GIGABYTE AERO 17 YE5-74US748HP 17.3"" 4K / UHD 120 Hz IPS-level Mini LED Intel Core i7 12th Gen 12700H (2.30GHz) NVIDIA GeForce RTX 3080 Ti Laptop GPU 32GB Memory 2 TB Gen4 SSD Windows 11 Pro Gaming La","$ $3,099.00","$ 3,031.99",
"MSI GL Series Pulse GL76 12UGK-256 17.3"" 144 Hz IPS Intel Core i7 12th Gen 12700H (2.30GHz) NVIDIA GeForce RTX 3070 Laptop GPU 16GB Memory 512 GB NVMe SSD Windows 11 Home 64-bit Gaming Laptop",N/A,"$ 1,799.00",119 Offers
